type;isin;investmentRegion;investmentSubject;fullName;managedBy;replicationType;ticker;exchange;tickerGoogle;tickerYahoo;currency
ETF;IE00BKX55Q28;Wielka Brytania;Akcje;VANGUARD FTSE 250 UCITS ;Vanguard;Distributing;VMID;LON;LON:VMID;;
ETF;IE00B53HP851;Wielka Brytania;Akcje;ISHARES COREFTSE 100 UCITS ETF (EUR);iShares;Accumulating;SXRW;FRA;FRA:SXRW;;EUR
ETF;IE00B53HP851;Wielka Brytania;Akcje;ISHARES FTSE 100 UCITS ETF;iShares;Accumulating;CUKX;LON;LON:CUKX;;GBX
ETF;IE00B5L8K969;Azja;Akcje;ISHARES MSCI EM ASIA UCITS ;iShares;Accumulating;CEA1;LON;LON:CEA1;;GBX
ETF;IE00B5L8K969;Azja;Akcje;ISHARES MSCI EM ASIA UCITS;iShares;Accumulating;CEMA;LON;LON:CEMA;;USD
ETF;IE00BFY0GT14;Globalny (DM);Akcje;SPDR MSCI WORLD UCITS ETF USD ;SPDR;Accumulating;SWRD;LON;LON:SWRD;;
ETF;IE00BFY0GT14;Globalny (DM);Akcje;SPDR MSCI WORLD UCITS ETF USD ;SPDR;Accumulating;SWRD;AMS;AMS:SWRD;;
ETF;IE00B1FZS467;Globalny;Akcje - tematyczne;ISHARES GLOBAL INFRASTRUCTURE UCITS ;iShares;Distributing;IQQI;FRA;FRA:IQQI;;EUR
ETF;IE00B1FZS467;Globalny;Akcje - tematyczne;ISHARES GLOBAL INFRASTRUCTURE UCITS ;iShares;Distributing;IDIN;LON;LON:IDIN;;USD
ETF;IE00B1FZS467;Globalny;Akcje - tematyczne;ISHARES GLOBAL INFRASTRUCTURE UCITS ;iShares;Distributing;INFR;AMS;AMS:INFR;;EUR
ETF;IE00BM67HK77;Globalny (DM);Akcje - ochrona zdrowia;DB XTRACKERS MSCI WORLD HEALTH CARE INDEX UCITS ;Xtrackers;Accumulating;XDWH;FRA;FRA:XDWH;;EUR
ETF;FR0011550177;USA;Akcje;BNP PARIBAS EASY S&P 500 UCITS ETF USD C;BNP Paribas;Accumulating;ESD;EPA;EPA:ESD;;USD
ETF;LU1681047236;Europa;Akcje;AMUNDI EURO STOXX 50 UCITS ETF DR EUR (C) ;Amundi;Accumulating;C50;EPA;EPA:C50;;EUR
ETF;LU0274209740;Japonia;Akcje;DB XTRACKERS MSCI JAPAN INDEX UCITS ;Xtrackers;Accumulating;XMJP;FRA;FRA:DBXJ;;EUR
ETF;LU0328475792;Europa;Akcje;DB XTRACKERS STOXX EUROPE 600 UCITS ;Xtrackers;Accumulating;XSX6;FRA;FRA:DX2X;;
ETF;LU1829219390;Europa;Akcje - finanse;LYXOR EURO STOXX BANKS (DR) UCITS ETF ;Lyxor;Accumulating;BNKE;EPA;EPA:BNKE;;
ETF;DE0005933923;Niemcy;Akcje - factor;ISHARES CORE MDAX UCITS ;iShares;Accumulating;MDAXEX;FRA;FRA:EXS3;;EUR
ETF;DE000A0Q4R85;Brazylia;Akcje;ISHARES MSCI BRAZIL UCITS ETF ;iShares;Accumulating;4BRZ;FRA;FRA:4BRZ;;
ETF;IE00B95PGT31;Japonia;Akcje;VANGUARD FTSE JAPAN UCITS ETF USD DIST;Vanguard;Distributing;VJPN;AMS;AMS:VJPN;;EUR
ETF;IE00BYML9W36;USA;Akcje;INVESCO S&P 500 UCITS ETF DIST;Invesco;Distributing;D500;FRA;FRA:D500;;
ETF;IE00BKX55S42;Europa;Akcje;VANGUARD FTSE DEVELOPED EUROPE EX UK UCITS ETF EUR;Vanguard;Distributing;VERX;AMS;AMS:VERX;;
ETF;IE00BKX55T58;Globalny (DM);Akcje;VANGUARD FTSE DEVELOPED WORLD UCITS ;Vanguard;Distributing;VGVE;FRA;FRA:VGVE;;EUR
ETF;IE00BKX55T58;Globalny (DM);Akcje;VANGUARD FTSE DEVELOPED WORLD UCITS ;Vanguard;Distributing;VDEV;LON;LON:VDEV;;USD
ETF;IE00BM67HT60;Globalny (DM);Akcje - technologia;DB XTRACKERS MSCI WORLD INFORMATION TECH UCITS ;Xtrackers;Accumulating;XDWT;FRA;FRA:XDWT;;
ETF;DE0006289309;Europa;Akcje - finanse;ISHARES EURO STOXX BANKS 3015 UCITS ;iShares;Distributing;SX7EEX;FRA;FRA:EXX1;;EUR
ETF;IE00BP3QZ825;Globalny (DM);Akcje - factor;ISHARES EDGE MSCI WORLD MOMENT UCITS;iShares;Accumulating;IS3R;FRA;FRA:IS3R;;EUR
ETF;IE00BP3QZ825;Globalny (DM);Akcje - factor;ISHARES EDGE MSCI WORLD MOMENT UCITS ;iShares;Accumulating;IWMO;LON;LON:IWMO;;USD
ETF;IE00B4L5YC18;Globalny (EM);Akcje;ISHARES MSCI EM UCITS ;iShares;Accumulating;EUNM;FRA;FRA:EUNM;;EUR
ETF;IE00B4L5YC18;Globalny (EM);Akcje;ISHARES MSCI EM UCITS ;iShares;Accumulating;IEMA;LON;LON:IEMA;;USD
ETF;IE00B6SPMN59;USA;Akcje - factor;ISHARES EDGE S&P 500 MINIMUM VOLATILITY UCITS ;iShares;Accumulating;IBCK;FRA;FRA:IBCK;;EUR
ETF;LU0514695690;Chiny;Akcje;DB XTRACKERS MSCI CHINA UCITS ;Xtrackers;Accumulating;XCS6;FRA;FRA:XCS6;;EUR
ETF;LU0839027447;Japonia;Akcje;DB XTRACKERS NIKKEI 225 UCITS ;Xtrackers;Distributing;XDJP;FRA;FRA:XDJP;;
ETF;IE00BG0J4C88;Globalny;Akcje - technologia;ISHARES DIGITAL SECURITY UCITS ETF;iShares;Accumulating;L0CK;FRA;FRA:L0CK;;EUR
ETF;IE00BG0J4C88;Globalny;Akcje - technologia;ISHARES DIGITAL SECURITY UCITS ETF;iShares;Accumulating;LOCK;LON;LON:LOCK;;USD
ETF;IE00BGHQ0G80;Globalny;Akcje;XTRACKERS MSCI AC WORLD UCITS ETF;Xtrackers;Accumulating;XMAW;FRA;FRA:XMAW;;
